window,warmup_bars,z_entry,hook_delta,sessions,raw_bars,trades,active_trade_days,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,convergence_exits,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
90,90,2.5000000000,0.3000000000,250,96960,517,247,517,1651,-1713.4435000000,4225.7048818995,140.8890000000,4084.8158818995,-5939.1483818995,-5.9391483819,31.3346228240,0.5481756189,-2.6335089274,-2.8294261635,6114.7077748995,6.1147077749,-11.4877144718,55.8800773694,0,0,350,167,0.0000000000,0.0000000000
90,90,2.5000000000,0.1500000000,250,96960,536,247,536,1768,-1858.1338000000,4381.5471458395,146.0550000000,4235.4921458395,-6239.6809458395,-6.2396809458,30.4104477612,0.5390798521,-2.6432740036,-2.8210081733,6429.0881078395,6.4290881078,-11.6411957945,54.2593283582,0,0,367,169,0.0000000000,0.0000000000
90,90,2.5000000000,0.0000000000,250,96960,642,247,642,2259,-1733.4368000000,5248.7665815194,174.9930000000,5073.7735815194,-6982.2033815194,-6.9822033815,29.9065420561,0.5235192031,-2.9221201934,-3.1058696648,7151.4979215194,7.1514979215,-10.8757062017,46.4018691589,0,0,469,173,0.0000000000,0.0000000000
30,30,2.0000000000,0.3000000000,250,96960,1065,250,1065,7459,-81.4923000000,8706.6075247391,290.4720000000,8416.1355247391,-8788.0998247391,-8.7880998247,38.3098591549,0.6644009759,-2.9500397817,-3.2531232540,9074.3010667392,9.0743010667,-8.2517369246,63.3389671362,0,0,848,217,0.0000000000,0.0000000000
30,30,2.0000000000,0.1500000000,250,96960,1078,250,1078,7618,-283.6707000000,8812.4492192191,294.0980000000,8518.3512192191,-9096.1199192191,-9.0961199192,37.9406307978,0.6564608338,-3.0294195914,-3.3007919214,9398.0151173392,9.3980151173,-8.4379591087,62.8487940631,0,0,860,218,0.0000000000,0.0000000000
60,60,2.0000000000,0.1500000000,250,96960,894,250,894,7279,-966.8383000001,7309.5349455393,244.3770000000,7065.1579455393,-8276.3732455393,-8.2763732455,35.4586129754,0.6165785864,-3.0310536724,-3.2336845652,8502.8260795793,8.5028260796,-9.2576881941,61.6666666667,0,0,684,210,0.0000000000,0.0000000000
60,60,2.0000000000,0.3000000000,250,96960,879,250,879,7033,-1084.3033000000,7187.0038310593,240.2820000000,6946.7218310593,-8271.3071310593,-8.2713071311,35.4948805461,0.6140324922,-3.0487484520,-3.2619374508,8533.4301522594,8.5305946409,-9.4099057236,62.2730375427,0,0,671,208,0.0000000000,0.0000000000
90,90,2.0000000000,0.3000000000,250,96960,761,250,761,6382,-1450.8097000000,6220.4486829393,207.2980000000,6013.1506829393,-7671.2583829393,-7.6712583829,32.1944809461,0.5886590931,-3.0576243902,-3.3075295878,7973.9616264394,7.9649133274,-10.0804972181,59.1432325887,0,0,559,202,0.0000000000,0.0000000000
90,90,2.0000000000,0.1500000000,250,96960,788,250,788,6678,-2015.5264000000,6441.3152902393,214.4590000000,6226.8562902393,-8456.8416902393,-8.4568416902,30.3299492386,0.5617611784,-3.1302722357,-3.3330619700,8686.4009818794,8.6845765897,-10.7320326018,57.6649746193,0,0,582,206,0.0000000000,0.0000000000
30,30,2.0000000000,0.0000000000,250,96960,1152,250,1152,8440,-942.9039000000,9418.3944170990,314.2930000000,9104.1014170990,-10361.2983170990,-10.3612983171,36.9791666667,0.6310360738,-3.2959629347,-3.5582276839,10612.1190667791,10.6121190668,-8.9941825669,59.9704861111,0,0,930,222,0.0000000000,0.0000000000
60,60,2.0000000000,0.0000000000,250,96960,1044,250,1044,8230,-1492.6062000000,8537.2737077591,285.9920000000,8251.2817077591,-10029.8799077591,-10.0298799078,34.0996168582,0.5816350804,-3.5243611395,-3.7100155133,10268.1991987591,10.2681991988,-9.6071646626,54.0680076628,0,0,829,215,0.0000000000,0.0000000000
90,90,2.0000000000,0.0000000000,250,96960,956,250,956,7674,-2328.2649000000,7814.8210072992,260.2110000000,7554.6100072992,-10143.0859072992,-10.1430859073,29.9163179916,0.5277855652,-3.6769896549,-3.8642739639,10256.6003756992,10.2566003757,-10.6099224972,48.8765690377,0,0,747,209,0.0000000000,0.0000000000
30,30,1.5000000000,0.1500000000,250,96960,1478,250,1478,21734,-1514.1327000001,12079.6225696587,402.7380000000,11676.8845696587,-13593.7552696588,-13.5937552697,35.7239512855,0.5835261935,-4.1770997981,-4.3702622844,13818.9685446588,13.8189685447,-9.1973986940,51.1921515562,0,0,1254,224,0.0000000000,0.0000000000
30,30,1.5000000000,0.3000000000,250,96960,1455,250,1455,21372,-1723.1768000000,11891.9678052788,396.4170000000,11495.5508052788,-13615.1446052788,-13.6151446053,35.5326460481,0.5799333599,-4.1824117399,-4.3891435772,13842.5633702788,13.8425633703,-9.3574877012,51.6378006873,0,0,1232,223,0.0000000000,0.0000000000
60,60,1.5000000000,0.3000000000,250,96960,1202,250,1202,19181,-2644.5275000000,9824.0375807390,327.2290000000,9496.8085807390,-12468.5650807390,-12.4685650807,31.2811980033,0.5417540993,-4.3416962926,-4.4901413073,12712.7172057390,12.7127172057,-10.3731822635,53.2762063228,0,0,989,213,0.0000000000,0.0000000000
90,90,1.5000000000,0.3000000000,250,96960,1052,250,1052,16785,-3045.1051000000,8600.4140312591,286.7410000000,8313.6730312591,-11645.5191312591,-11.6455191313,29.4676806084,0.5054572925,-4.3806967648,-4.4752434047,11892.8760460992,11.8928760461,-11.0698851058,51.6425855513,0,0,839,213,0.0000000000,0.0000000000
30,30,1.5000000000,0.0000000000,250,96960,1619,250,1619,23380,-1268.6402000000,13234.5231480786,441.4200000000,12793.1031480786,-14503.1633480785,-14.5031633481,36.3187152563,0.5835530447,-4.4353403740,-4.6670116651,14792.3408022586,14.7923408023,-8.9580996591,48.0710315009,0,0,1390,229,0.0000000000,0.0000000000
90,90,1.5000000000,0.1500000000,250,96960,1117,250,1117,17421,-3551.6112000000,9130.9486707591,304.2480000000,8826.7006707591,-12682.5598707591,-12.6825598708,28.2005371531,0.4883989128,-4.4532599921,-4.5083393863,12814.9290277591,12.8149290278,-11.3541270105,49.3858549687,0,0,900,217,0.0000000000,0.0000000000
60,60,1.5000000000,0.1500000000,250,96960,1240,250,1240,19681,-2910.3244000000,10134.7062324790,337.5400000000,9797.1662324790,-13045.0306324790,-13.0450306325,30.8870967742,0.5323695408,-4.5033183122,-4.6225946568,13293.0319874790,13.2930319875,-10.5201859939,52.1879032258,0,0,1025,215,0.0000000000,0.0000000000
60,60,1.5000000000,0.0000000000,250,96960,1480,250,1480,21464,-3350.6244000000,12097.3227404388,403.1230000000,11694.1997404388,-15447.9471404387,-15.4479471404,30.4054054054,0.5038224578,-5.0837056839,-5.1062369960,15638.0983954387,15.6380983954,-10.4378021219,45.1750000000,0,0,1260,220,0.0000000000,0.0000000000
90,90,1.5000000000,0.0000000000,250,96960,1449,250,1449,19149,-3355.7219000001,11844.1627414188,394.0370000000,11450.1257414188,-15199.8846414189,-15.1998846414,27.1221532091,0.4622392755,-5.2083513525,-5.1977155322,15297.3396564188,15.2973396564,-10.4899134861,39.4720496894,0,0,1227,222,0.0000000000,0.0000000000
