window,warmup_bars,z_entry,hook_delta,sessions,raw_bars,trades,active_trade_days,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,convergence_exits,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
60,60,2.5000000000,0.1500000000,250,96960,579,250,579,1906,738.7571000000,4730.9488510595,158.2000000000,4572.7488510595,-3992.1917510595,-3.9921917511,29.7063903282,0.7292789682,-1.5914622816,-2.9934335886,4813.6686623197,4.8004454207,-6.8949771175,67.5388601036,0,0,391,188,0.0000000000,0.0000000000
90,90,2.0000000000,0.1500000000,250,96960,788,250,788,6678,2016.5959000000,6441.0871402593,214.4520000000,6226.6351402593,-4424.4912402593,-4.4244912403,28.4263959391,0.7471934429,-1.6130407215,-2.9797401367,4844.2521151797,4.8314448886,-5.6148365993,57.6649746193,0,0,582,206,0.0000000000,0.0000000000
30,30,2.5000000000,0.3000000000,250,96960,679,250,679,1532,966.2888000000,5551.4464015994,185.1010000000,5366.3454015994,-4585.1576015994,-4.5851576016,30.0441826215,0.7431199680,-1.6281360743,-2.9292243019,5164.3751208797,5.1501563773,-6.7528094280,71.7511045655,0,0,488,191,0.0000000000,0.0000000000
30,30,2.5000000000,0.1500000000,250,96960,682,250,682,1563,820.8033000000,5575.5340558994,185.9410000000,5389.5930558994,-4754.7307558994,-4.7547307559,29.9120234604,0.7363681920,-1.6474454839,-3.0205673484,5447.9871912397,5.4335400614,-6.9717459764,71.6099706745,0,0,491,191,0.0000000000,0.0000000000
30,30,2.5000000000,0.0000000000,250,96960,721,250,721,1891,677.0346000000,5893.1945882394,196.5180000000,5696.6765882394,-5216.1599882394,-5.2161599882,28.4327323162,0.7220277917,-1.7346797361,-3.1650730686,5653.7685706396,5.6377537068,-7.2346185690,68.6130374480,0,0,529,192,0.0000000000,0.0000000000
90,90,2.0000000000,0.3000000000,250,96960,761,250,761,6382,1453.0712000000,6220.4428993593,207.2980000000,6013.1448993593,-4767.3716993594,-4.7673716994,28.2522996058,0.7266569051,-1.8773922869,-3.2365143341,4981.9585875794,4.9712908492,-6.2646145852,59.1432325887,0,0,559,202,0.0000000000,0.0000000000
90,90,1.5000000000,0.1500000000,250,96960,1117,250,1117,17421,3549.7053000000,9130.9644618591,304.2480000000,8826.7164618591,-5581.2591618591,-5.5812591619,26.8576544315,0.7387543732,-1.9572538431,-3.5354220074,5859.3196323391,5.8430723579,-4.9966509954,49.3858549687,0,0,900,217,0.0000000000,0.0000000000
90,90,2.0000000000,0.0000000000,250,96960,956,250,956,7674,2331.8724000000,7814.1333905992,260.1900000000,7553.9433905992,-5482.2609905992,-5.4822609906,25.9414225941,0.7189377642,-1.9884065761,-3.5562518848,5809.5713421192,5.7906180498,-5.7345826261,48.8765690377,0,0,747,209,0.0000000000,0.0000000000
90,90,3.0000000000,0.0000000000,250,96960,316,194,316,561,-827.1890000000,2582.0077273997,85.8200000000,2496.1877273997,-3409.1967273997,-3.4091967274,25.0000000000,0.5368517746,-2.0629987095,-3.7286337400,3692.6102409398,3.6865426639,-10.7885972386,42.7594936709,0,0,204,112,0.0000000000,0.0000000000
90,90,1.5000000000,0.3000000000,250,96960,1052,250,1052,16785,3046.9621000000,8599.9992065391,286.7270000000,8313.2722065391,-5553.0371065391,-5.5530371065,26.8060836502,0.7316252540,-2.0839408137,-3.6062053265,5784.8144443792,5.7714375600,-5.2785523826,51.6425855513,0,0,839,213,0.0000000000,0.0000000000
90,90,3.0000000000,0.3000000000,250,96960,266,191,266,335,-981.9058000000,2172.5911082398,72.1910000000,2100.4001082398,-3154.4969082398,-3.1544969082,28.9473684211,0.5405873553,-2.0878774150,-3.3768633265,3311.6650782398,3.3064683624,-11.8590109332,49.3045112782,0,0,158,108,0.0000000000,0.0000000000
60,60,2.0000000000,0.3000000000,250,96960,879,250,879,7033,1080.5748000000,7186.7911174793,240.2750000000,6946.5161174793,-6106.2163174792,-6.1062163175,28.5551763367,0.7078609188,-2.1943748290,-3.7682625739,6406.6725488393,6.3874809643,-6.9467762429,62.2730375427,0,0,671,208,0.0000000000,0.0000000000
90,90,3.0000000000,0.1500000000,250,96960,275,193,275,372,-1076.3339000000,2246.5709646198,74.7040000000,2171.8669646198,-3322.9048646197,-3.3229048646,29.4545454545,0.5296478645,-2.2103052159,-3.5934735519,3480.0730346197,3.4746120504,-12.0832904168,47.9600000000,0,0,165,110,0.0000000000,0.0000000000
60,60,2.0000000000,0.1500000000,250,96960,894,250,894,7279,960.5778000001,7309.7601135593,244.3840000000,7065.3761135593,-6349.1823135592,-6.3491823136,28.4116331096,0.7012429028,-2.2643030244,-3.9026687352,6680.3960390392,6.6583426941,-7.1019936393,61.6666666667,0,0,684,210,0.0000000000,0.0000000000
60,60,1.5000000000,0.1500000000,250,96960,1240,250,1240,19681,2906.3730000000,10133.6986283190,337.5050000000,9796.1936283190,-7227.3256283190,-7.2273256283,27.8225806452,0.7142914185,-2.3626904852,-4.0197733564,7513.1626223190,7.4917484338,-5.8284884099,52.1879032258,0,0,1025,215,0.0000000000,0.0000000000
60,60,1.5000000000,0.3000000000,250,96960,1202,250,1202,19181,2641.2082000000,9823.6055789990,327.2150000000,9496.3905789990,-7182.3973789990,-7.1823973790,28.2861896839,0.7115104189,-2.3673243938,-3.9719641158,7468.2343729990,7.4469482400,-5.9753721955,53.2762063228,0,0,989,213,0.0000000000,0.0000000000
60,60,2.0000000000,0.0000000000,250,96960,1044,250,1044,8230,1473.1729000000,8538.3398188991,286.0270000000,8252.3128188991,-7065.1669188991,-7.0651669189,28.1609195402,0.6942548999,-2.4737523820,-4.1147690751,7596.2804227391,7.5561486966,-6.7674012633,54.0680076628,0,0,829,215,0.0000000000,0.0000000000
30,30,2.0000000000,0.0000000000,250,96960,1152,250,1152,8440,941.0062000000,9418.2533071990,314.2860000000,9103.9673071990,-8477.2471071991,-8.4772471072,29.6006944444,0.6960569357,-2.5820901930,-4.0742220513,8821.0246394791,8.7908038310,-7.3587214472,59.9704861111,0,0,930,222,0.0000000000,0.0000000000
30,30,2.0000000000,0.1500000000,250,96960,1078,250,1078,7618,293.9599000000,8812.2117798191,294.0910000000,8518.1207798191,-8518.2518798190,-8.5182518798,29.9628942486,0.6838200682,-2.7185141094,-4.2614110568,8884.2026964791,8.8518094276,-7.9019034136,62.8487940631,0,0,860,218,0.0000000000,0.0000000000
60,60,1.5000000000,0.0000000000,250,96960,1480,250,1480,21464,3356.2603000000,12096.3878874588,403.0880000000,11693.2998874588,-8740.1275874588,-8.7401275875,27.7027027027,0.6899857986,-2.7531414561,-4.5543979617,9036.2125314588,9.0095366499,-5.9054916131,45.1750000000,0,0,1260,220,0.0000000000,0.0000000000
30,30,2.0000000000,0.3000000000,250,96960,1065,250,1065,7459,85.9086000000,8706.5516747591,290.4720000000,8416.0796747591,-8620.6430747591,-8.6206430748,29.9530516432,0.6782769522,-2.7790261263,-4.2608394544,8993.6243344191,8.9602044510,-8.0945005397,63.3389671362,0,0,848,217,0.0000000000,0.0000000000
30,30,1.5000000000,0.3000000000,250,96960,1455,250,1455,21372,1717.9394000000,11893.5033527588,396.4730000000,11497.0303527588,-10175.5639527587,-10.1755639528,28.5910652921,0.6755915839,-3.0046584782,-4.5817051708,10488.0456167587,10.4553744886,-6.9935147442,51.6378006873,0,0,1232,223,0.0000000000,0.0000000000
90,90,1.5000000000,0.0000000000,250,96960,1449,250,1449,19149,3349.1834000001,11843.2903675588,394.0020000000,11449.2883675588,-8494.1069675587,-8.4941069676,25.2587991718,0.6632963060,-3.0145383421,-4.7290142137,8751.9772767387,8.7294665743,-5.8620475967,39.4720496894,0,0,1227,222,0.0000000000,0.0000000000
30,30,1.5000000000,0.1500000000,250,96960,1478,250,1478,21734,1512.5894000001,12081.1960039587,402.7940000000,11678.4020039587,-10568.6066039586,-10.5686066040,28.4167794317,0.6699894142,-3.1240722920,-4.7455810372,10883.1378579586,10.8490143172,-7.1506133992,51.1921515562,0,0,1254,224,0.0000000000,0.0000000000
30,30,1.5000000000,0.0000000000,250,96960,1619,250,1619,23380,1258.8233000000,13235.8533644986,441.4620000000,12794.3913644986,-11977.0300644986,-11.9770300645,28.0420012353,0.6555393853,-3.5178580231,-5.0079228321,12327.5630293386,12.2845018010,-7.3977949750,48.0710315009,0,0,1390,229,0.0000000000,0.0000000000
